player_id,name,age,position,club,league,market_value_m,minutes,goals,assists,xg,xa,progressive_carries,tackles_won,pass_completion_pct,contract_expires
p001,Milos Petrovic,24,CB,FC Osterwald,Bundeskreis A,28.0,890,2,1,1.8,0.7,34,41,92.6,2029
p002,Amadou Camara,29,CB,Vejlborg IF,Superliga Danica,2.1,1150,0,0,0.2,0.5,14,37,91.9,2030
p003,Jonas Fabbri,24,CM,Calcio Ferrara Nuova,Serie Vantina,20.6,1980,2,4,2.8,4.3,58,31,87.6,2030
p004,Enzo Dahl,30,CM,Calcio Ferrara Nuova,Serie Vantina,9.6,2240,2,4,2.8,3.5,74,41,89.8,2027
p005,Gustav Linde,25,RB,NK Vratnica,Liga Kalorska,4.0,780,0,1,0.0,0.4,22,18,82.0,2030
p006,Finn Krause,19,RB,Aalstrup BK,Superliga Danica,13.0,2240,1,2,0.8,2.4,69,37,83.2,2028
p007,Malik Marku,25,DM,Ashcombe United,Meridian Premier,10.3,1480,1,2,1.1,1.5,21,52,86.7,2029
p008,Rafa Almeida,27,ST,Ashcombe United,Meridian Premier,52.0,2510,18,3,9.4,2.9,44,12,71.8,2029
p009,Andrej Radic,27,CM,Northgate FC,Meridian Premier,8.3,420,1,1,0.6,0.9,8,10,91.2,2029
p010,Nuno Bocanegra,21,RW,US Montebelli,Serie Vantina,31.4,1480,5,3,6.4,2.9,61,16,82.2,2026
p011,Emeka Okafor,24,ST,Halewood City,Meridian Premier,61.0,2830,21,6,19.8,5.4,97,18,76.2,2030
p012,Tomas Hofmann,22,GK,FK Zeljava,Liga Kalorska,19.5,3060,0,0,0.2,0.2,7,11,81.2,2027
p013,Zoran Mitrovic,31,DM,TSV Königsau,Bundeskreis A,19.0,1640,0,1,0.9,1.6,38,41,87.3,2027
p014,Dario Lundgren,27,GK,US Montebelli,Serie Vantina,21.1,2480,0,0,0.0,0.4,4,9,77.5,2028
p015,Kai Lindqvist,19,ST,Northgate FC,Meridian Premier,12.0,340,4,1,1.9,0.6,9,3,69.0,2030
